Year,Quarter,Period,Scenario,Brand,Region,Function,Account,Value
2025,Q1,2025-Q1,ACT,BrandA,EMEA,Sales,Net Revenue,53000
2025,Q1,2025-Q1,BUD,BrandA,EMEA,Sales,Net Revenue,50000
2025,Q1,2025-Q1,ACT,BrandA,EMEA,Marketing,SG&A Expenses,12000
2025,Q1,2025-Q1,BUD,BrandA,EMEA,Marketing,SG&A Expenses,10000
2025,Q2,2025-Q2,ACT,BrandA,EMEA,Sales,Net Revenue,56000
2025,Q2,2025-Q2,BUD,BrandA,EMEA,Sales,Net Revenue,52000
2025,Q2,2025-Q2,ACT,BrandA,EMEA,Marketing,SG&A Expenses,13000
2025,Q2,2025-Q2,BUD,BrandA,EMEA,Marketing,SG&A Expenses,11000
2025,Q3,2025-Q3,ACT,BrandA,EMEA,IT,Operating Profit,30500
2025,Q3,2025-Q3,BUD,BrandA,EMEA,IT,Operating Profit,28000
2025,Q4,2025-Q4,ACT,BrandA,EMEA,Sales,Net Revenue,60000
2025,Q4,2025-Q4,BUD,BrandA,EMEA,Sales,Net Revenue,56000
2025,Q1,2025-Q1,ACT,BrandB,NA,Sales,Net Revenue,48000
2025,Q1,2025-Q1,BUD,BrandB,NA,Sales,Net Revenue,45000
2025,Q2,2025-Q2,ACT,BrandB,NA,Sales,Net Revenue,49000
2025,Q2,2025-Q2,BUD,BrandB,NA,Sales,Net Revenue,47000
2025,Q3,2025-Q3,ACT,BrandB,NA,Sales,Net Revenue,51000
2025,Q3,2025-Q3,BUD,BrandB,NA,Sales,Net Revenue,49000
2025,Q4,2025-Q4,ACT,BrandB,NA,Sales,Net Revenue,53000
2025,Q4,2025-Q4,BUD,BrandB,NA,Sales,Net Revenue,50000
2025,Q3,2025-Q3,ACT,BrandC,APAC,Sales,Net Revenue,44000
2025,Q3,2025-Q3,BUD,BrandC,APAC,Sales,Net Revenue,42000
2025,Q3,2025-Q3,ACT,BrandC,APAC,Marketing,SG&A Expenses,11000
2025,Q3,2025-Q3,BUD,BrandC,APAC,Marketing,SG&A Expenses,10000
